trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
149,False,"{'a': 0.5, 'e': 0.22368867397864742}",35,6,-25.363112023586908,"{0: 26, 1: 1, 2: 0, 3: 1, 4: 1}",1
150,False,"{'a': 0.5, 'e': 0.22145178723886094}",30,21,-10.836795839104916,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.21923726936647234}",25,0,-11.59532637748724,"{0: 20, 1: 4, 2: 0, 3: 1, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.2170448966728076}",20,8,-13.064150680750277,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.21487444770607952}",25,0,16.715420573698104,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.21272570322901874}",25,11,-56.46832423061553,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
155,False,"{'a': 0.5, 'e': 0.21059844619672854}",25,12,-2.6979253841810924,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.20849246173476127}",20,16,5.1071772739533845,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.20640753711741366}",25,0,28.463619915812544,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
158,False,"{'a': 0.5, 'e': 0.20434346174623952}",20,4,5.2705928202635,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.20230002712877712}",25,20,7.8330835304682225,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.20027702685748935}",20,7,-19.576436023151004,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
161,False,"{'a': 0.5, 'e': 0.19827425658891445}",20,12,14.838634634628853,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.1962915140230253}",20,12,8.236733551459196,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.19432859888279505}",25,10,0.5514911730747083,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.1923853128939671}",30,16,13.933909971877847,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.19046145976502743}",30,16,2.3168803198379804,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.18855684516737714}",20,13,-11.838878915000244,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.18667127671570335}",25,8,17.779821729282656,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.18480456394854633}",30,21,13.385526165576975,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.18295651830906087}",25,11,3.405398245708747,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.18112695312597027}",25,2,0.8602145142808366,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.17931568359471056}",30,18,23.397037073741213,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.17752252675876345}",25,9,-34.168319219478875,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
173,False,"{'a': 0.5, 'e': 0.17574730149117582}",25,15,16.713465794526524,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.17398982847626407}",20,11,8.350864132053267,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.17224993019150142}",20,2,16.332494937548095,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.1705274308895864}",25,10,-39.19678708896965,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
177,False,"{'a': 0.5, 'e': 0.16882215658069055}",20,16,7.3651103229503985,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.16713393501488363}",30,16,-27.115857231672944,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
179,False,"{'a': 0.5, 'e': 0.16546259566473479}",25,15,17.943368399980805,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.16380796970808745}",20,14,7.8461390793409995,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16216989001100657}",25,8,-12.870620070369892,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
182,False,"{'a': 0.5, 'e': 0.1605481911108965}",25,13,20.028509709175694,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
